"OBJE_SQ_OBJETO","TIRE_SQ_TIPO_RECURSO","DEMA_DURACAO_RECURSO","DEMA_QUANTIDADE_RECURSO"
"1","42","0","0"
"1","43","18","1"
"1","44","32","1.6"
"1","45","0","0"
"1","46","18","1"
"1","47","60.5","3.3"
"1","48","0","0"
"1","49","0","0"
"1","50","0","0"
"1","51","0","0"
"1","52","44","2.4"
"1","53","0","0"
"1","54","0","0"
"1","55","7.2","0.4"
"1","56","0","0"
"1","57","0","0"
"1","58","21.6","1.2"
"1","59","82.5","4.5"
"1","67","0","0"
"1","68","21.6","1.2"
"1","69","82.5","4.5"
"1","70","18","1"
"1","71","0","0"
"1","72","0","0"
"1","73","21.6","1.2"
"1","74","82.5","4.5"
"1","76","12.6","0.7"
"1","77","0","0"
"1","78","18","1"
"1","79","40","2"
"1","80","0","0"
"1","81","0","0"
"1","82","0","0"
"1","83","1","1"
"1","84","2","2"
"2","42","0","0"
"2","43","8","1"
"2","44","21.6","0.8"
"2","45","0","0"
"2","46","8","1"
"2","47","50.6","2.2"
"2","48","0","0"
"2","49","0","0"
"2","50","0","0"
"2","51","0","0"
"2","52","36.8","1.6"
"2","53","0","0"
"2","54","0","0"
"2","55","3.2","0.4"
"2","56","0","0"
"2","57","0","0"
"2","58","9.6","1.2"
"2","59","69","3"
"2","67","0","0"
"2","68","9.6","1.2"
"2","69","69","3"
"2","70","8","1"
"2","71","8","1"
"2","72","0","0"
"2","73","9.6","1.2"
"2","74","69","3"
"2","76","5.6","0.7"
"2","77","0","0"
"2","78","8","1"
"2","79","27","1"
"2","80","0","0"
"2","81","0","0"
"2","82","0","0"
"2","83","1","1"
"2","84","1","1"
"3","42","0","0"
"3","43","8","1"
"3","44","32.8","1.6"
"3","45","0","0"
"3","46","8","1"
"3","47","70.4","3.3"
"3","48","0","0"
"3","49","0","0"
"3","50","0","0"
"3","51","0","0"
"3","52","51.2","2.4"
"3","53","0","0"
"3","54","0","0"
"3","55","3.2","0.4"
"3","56","0","0"
"3","57","0","0"
"3","58","9.6","1.2"
"3","59","96","4.5"
"3","67","0","0"
"3","68","9.6","1.2"
"3","69","96","4.5"
"3","70","8","1"
"3","71","0","0"
"3","72","0","0"
