"CODIGO_POCO","NOME_POCO","NOME_RECURSO","QUANTIDADE_RECURSO"
"P00000240","9-PPT-26D-RJS","DRILLING JAR 8"" OU 8 1/4""","1.5"
"P00000240","9-PPT-26D-RJS","MOTOR ALTO TORQUE 9 5/8"" - AT GD","0.8"
"P00000240","9-PPT-26D-RJS","MWD 8"" - AT GD","1.5"
"P00000240","9-PPT-26D-RJS","PWD 8"" - AT GD","1.5"
"P00000240","9-PPT-26D-RJS","RESISTIVIDADE E GAMMA RAY 8"" - AT GD","1.5"
"P00000382","1-BAS-151.","TURBINA 6 3/4""","0.8"
"P00000382","1-BAS-151.","TURBINA 9 1/2""","1"
"P00000384","CHICO MINEIRO","TURBINA 6 3/4""","0.8"
"P00000384","CHICO MINEIRO","TURBINA 9 1/2""","1"
"P00001203","VALE VERDE","TURBINA 6 3/4""","0.8"
"P00001203","VALE VERDE","TURBINA 9 1/2""","1"
"P00001204","GUARANI","TURBINA 4 3/4""","1"
"P00001204","GUARANI","TURBINA 6 3/4""","0.8"
"P00001204","GUARANI","TURBINA 9 1/2""","1"
"P00001470","IGUANA RF MLS","DENSIDADE E NEUTRONS 6 3/4"" - AT PD","1"
"P00001470","IGUANA RF MLS","DENSIDADE E NEUTRONS 8"" - AT GD","0.8"
"P00001470","IGUANA RF MLS","DRILLING JAR 6 1/2"" OU 6 3/4""","1"
"P00001470","IGUANA RF MLS","DRILLING JAR 8"" OU 8 1/4""","1.5"
"P00001470","IGUANA RF MLS","ESTABILIZADOR 26""","1.5"
"P00001470","IGUANA RF MLS","HOLE OPENER 36""","0.5"
"P00001470","IGUANA RF MLS","MOTOR ALTO TORQUE 9 5/8"" - AT GD","0.8"
"P00001470","IGUANA RF MLS","MOTOR EXTRA TORQUE 6 3/4"" - AT PD","0.4"
"P00001470","IGUANA RF MLS","MOTOR EXTRA TORQUE 9 5/8"" - AT GD","0.6"
"P00001470","IGUANA RF MLS","MWD 6 3/4"" - AT PD","1.2"
"P00001470","IGUANA RF MLS","MWD 8"" - AT GD","1.5"
"P00001470","IGUANA RF MLS","PWD 6 3/4"" - AT PD","1.2"
"P00001470","IGUANA RF MLS","PWD 8"" - AT GD","1.5"
"P00001470","IGUANA RF MLS","RESISTIVIDADE E GAMMA RAY 6 3/4"" - AT PD","1.2"
"P00001470","IGUANA RF MLS","RESISTIVIDADE E GAMMA RAY 8"" - AT GD","1.5"
"P00001470","IGUANA RF MLS","ROTARY STEERABLE 6 3/4"" - AT PD","1"
"P00001470","IGUANA RF MLS","ROTARY STEERABLE 9 1/2"" - AT GD","1"
"P00001470","IGUANA RF MLS","SÔNICO 6 3/4"" - AT PD","0.8"
"P00001470","IGUANA RF MLS","SÔNICO 8"" - AT GD","1"
"P00001470","IGUANA RF MLS","TESTE DE PRESSÃO 6 3/4"" - AT PD","1"
"P00001471","MA.AREAMA-17.","DENSIDADE E NEUTRONS 8"" - AT GD","0.8"
"P00001471","MA.AREAMA-17.","DRILLING JAR 8"" OU 8 1/4""","1.5"
"P00001471","MA.AREAMA-17.","ESTABILIZADOR 26""","1.5"
"P00001471","MA.AREAMA-17.","HOLE OPENER 36""","0.5"
"P00001471","MA.AREAMA-17.","MOTOR ALTO TORQUE 9 5/8"" - AT GD","0.8"
"P00001471","MA.AREAMA-17.","MWD 8"" - AT GD","1.5"
"P00001471","MA.AREAMA-17.","PWD 8"" - AT GD","1.5"
"P00001471","MA.AREAMA-17.","RESISTIVIDADE E GAMMA RAY 8"" - AT GD","1.5"
"P00001471","MA.AREAMA-17.","ROTARY STEERABLE 9 1/2"" - AT GD","1"
"P00001471","MA.AREAMA-17.","TESTE DE PRESSÃO 8"" - AT GD","1"
"P00001479","1-MAS-37 - GUAJURU","DRILLING JAR 8"" OU 8 1/4""","1.5"
"P00001479","1-MAS-37 - GUAJURU","ESTABILIZADOR 28""","1.5"
"P00001479","1-MAS-37 - GUAJURU","HOLE OPENER 42""","0.5"
"P00001479","1-MAS-37 - GUAJURU","MOTOR ALTO TORQUE 9 5/8"" - AT GD","0.8"
"P00001479","1-MAS-37 - GUAJURU","MWD 8"" - AT GD","1.5"
"P00001479","1-MAS-37 - GUAJURU","PWD 8"" - AT GD","1.5"
"P00001479","1-MAS-37 - GUAJURU","RESISTIVIDADE E GAMMA RAY 8"" - AT GD","1.5"
"P00001479","1-MAS-37 - GUAJURU","TURBINA 6 3/4""","0.8"
"P00001479","1-MAS-37 - GUAJURU","TURBINA 9 1/2""","1"
"P00001587","PIL-LLNE.P3.","TURBINA 9 1/2""","1"
"P00001618","LL-CENTRAL.LC-I3.","TURBINA 9 1/2""","1"
"P00001627","LL-ALTO.P4-TA","TURBINA 9 1/2""","1"
"P00001634","LL-ALTO.P6-TA","TURBINA 9 1/2""","1"
"P00001637","LL-ALTO.P10-TA","TURBINA 9 1/2""","1"
"P00001692","SBBG.P4.","DENSIDADE E NEUTRONS 6 3/4"" - AT PD","1"
"P00001692","SBBG.P4.","DRILLING JAR 6 1/2"" OU 6 3/4""","1"
"P00001692","SBBG.P4.","DRILLING JAR 8"" OU 8 1/4""","3"
"P00001692","SBBG.P4.","ESTABILIZADOR 26""","1.5"
"P00001692","SBBG.P4.","HOLE OPENER 42""","0.5"
"P00001692","SBBG.P4.","MOTOR ALTO TORQUE 9 5/8"" - AT GD","0.8"
"P00001692","SBBG.P4.","MOTOR EXTRA TORQUE 6 3/4"" - AT PD","0.4"
"P00001692","SBBG.P4.","MOTOR EXTRA TORQUE 9 5/8"" - AT GD","0.6"
"P00001692","SBBG.P4.","MWD 6 3/4"" - AT PD","1.2"
"P00001692","SBBG.P4.","MWD 8"" - AT GD","3"
"P00001692","SBBG.P4.","PWD 6 3/4"" - AT PD","1.2"
"P00001692","SBBG.P4.","PWD 8"" - AT GD","3"
