"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"1","M200050","ABANDONO"
"2","C400020","ABANDONO"
"3","C400030","ABANDONO"
"4","S400020","ABANDONO"
"5","C300020","ABANDONO"
"6","D03990","ABANDONO"
"7","D01020","ABANDONO"
"8","D03900","ABANDONO"
"9","E01060","ABANDONO"
"10","R101400","ABANDONO DEFINITIVO"
"11","R1014001010","ABANDONO DEFINITIVO"
"12","R02970","ABANDONO DEFINITIVO (CONTINUACAO)"
"13","R02960","ABANDONO DEFINITIVO (INTERROMPIDO)"
"14","R101401","ABANDONO DEFINITIVO 2"
"15","R101405","ABANDONO DEFINITIVO PROBABILISTICO"
"16","R101403","ABANDONO DEFINITIVO SEM ESCOPO"
"17","P700100","ABANDONO DO PILOTO"
"18","D01549","ABANDONO DO PILOTO"
"19","P01549","ABANDONO DO PILOTO"
"20","D01548","ABANDONO DO PILOTO / CONDICIONAMENTO E ABANDONO DO PILOTO"
"21","A100540","ABANDONO ENTRE ZONAS"
"22","R101440","ABANDONO PROVISORIO"
"23","R101460","ABANDONO PROVISORIO 2"
"24","M200000","ABANDONO TEMPORARIO"
"25","C400000","ABANDONO TEMPORARIO"
"26","R01040","ABANDONO TEMPORARIO"
"27","D03980","ABANDONO TEMPORARIO"
"28","R1014001015","ABANDONO TEMPORARIO"
"29","R02950","ABANDONO TEMPORARIO"
"30","SER0016","ABANDONO TEMPORARIO"
"31","M200010","ABANDONO TEMPORARIO 2"
"32","C400010","ABANDONO TEMPORARIO 2"
"33","D03981","ABANDONO TEMPORARIO 2"
"34","SER0017","ABANDONO TEMPORARIO 2"
"35","M200020","ABANDONO TEMPORARIO 3"
"36","C400011","ABANDONO TEMPORARIO 3"
"37","M200030","ABANDONO TEMPORARIO 4"
"38","M200040","ABANDONO TEMPORARIO 5"
"39","R100390","ABERTURA DA VHIF"
"40","R101010","ABERTURA DE SLIDING SLEEVES"
"41","R100395","ABERTURA DE VALVULA DE FUNDO COM CABO ELETRICO"
"42","A100530","ACIDIFICACAO"
"43","R101020","ACIDIFICACAO"
"44","R101060","ACIDIFICACAO BULLHEAD"
"45","R101040","ACIDIFICACAO COM FLEXITUBO"
"46","C200110","ACIDIFICACAO DA FORMACAO"
"47","C200120","ACIDIFICACAO DA FORMACAO 2"
"48","D00100","AGUARDANDO AHTS"
"49","P700150","AGUARDANDO OPERACAO COM SESV"
"50","C100050","AGUARDANDO OPERACAO COM SESV"
"51","R101470","AGUARDANDO OPERACAO COM SESV"
"52","C001600","AGUARDANDO SESV DESCER BAP"
"53","D01507","ALARGAMENTO 14 3/4"""
"54","E01507","ALARGAMENTO 14 3/4"""
"55","E01325","ALARGAMENTO 17 1/2"""
"56","E01529","ALARGAMENTO DA TESTEMUNHAGEM"
"57","R100020","AMORTECER"
"58","R100021","AMORTECER"
"59","R100025","AMORTECER 2"
"60","D01514","AMOSTRAGEM A CABO"
"61","C200035","ANC"
"62","C300000","ANM"
"63","C200040","ANMH"
"64","C200030","ANSH"
"65","O100110","APOIO A PLATAFORMA"
"66","O100115","APOIO A PLSV"
"67","O100215","APOIO A SONDA"
"68","A100000","AVALIACAO EXPLORATORIA"
"69","A100010","AVALIACAO EXPLORATORIA 2"
"70","A100020","AVALIACAO EXPLORATORIA 3"
"71","A100030","AVALIACAO EXPLORATORIA COM CAUDA INFERIOR"
"72","R100075","AVALIACAO/CORRECAO DA CIMENTACAO"
"73","P300770","BASE TORPEDO 30"""
"74","D01122","BASE TORPEDO 30"""
"75","P300775","BASE TORPEDO 36"""
"76","A100440","CANHONEIO"
"77","R100640","CANHONEIO A CABO"
"78","R100660","CANHONEIO A CABO THRU TUBING"
"79","R100685","CANHONEIO FT"
"80","R100690","CANHONEIO FT THRU TUBING"
"81","C100087","CANHONEIO TCP"
"82","R100680","CANHONEIO TCP"
"83","A100470","CAUDA INTERMEDIARIA"
"84","C100130","CAUDA INTERMEDIARIA"
"85","R101230","CHECAGEM DE FUNDO"
"86","O100140","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"87","O100141","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"88","O100142","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"89","O100143","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"90","O100144","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"91","O100145","CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"92","D03304","COMISSIONAMENTO DA LINHA DE PRODUCAO"
"93","A100430","COMPLETACAO INFERIOR"
"94","C100100","COMPLETACAO INFERIOR"
"95","D01655","CONDICIONAMENTO"
"96","P700120","CONDICIONAMENTO DO POCO"
