"OBJE_SQ_OBJETO","TIRE_SQ_TIPO_RECURSO","DECR_QN_RECURSO","DECR_DURACAO_RECURSO"
"1","43","1","18"
"1","44","0.8","19"
"1","44","0.8","21"
"1","46","1","18"
"1","47","1.1","15"
"1","47","1.1","19"
"1","47","1.1","21"
"1","52","0.8","15"
"1","52","0.8","19"
"1","52","0.8","21"
"1","55","0.4","18"
"1","58","1.2","18"
"1","59","1.5","15"
"1","59","1.5","19"
"1","59","1.5","21"
"1","68","1.2","18"
"1","69","1.5","15"
"1","69","1.5","19"
"1","69","1.5","21"
"1","70","1","18"
"1","73","1.2","18"
"1","74","1.5","15"
"1","74","1.5","19"
"1","74","1.5","21"
"1","76","0.7","18"
"1","78","1","18"
"1","79","1","19"
"1","79","1","21"
"1","83","1","18"
"1","84","1","19"
"1","84","1","21"
"2","43","1","8"
"2","44","0.8","27"
"2","46","1","8"
"2","47","1.1","19"
"2","47","1.1","27"
"2","52","0.8","19"
"2","52","0.8","27"
"2","55","0.4","8"
"2","58","1.2","8"
"2","59","1.5","19"
"2","59","1.5","27"
"2","68","1.2","8"
"2","69","1.5","19"
"2","69","1.5","27"
"2","70","1","8"
"2","71","1","8"
"2","73","1.2","8"
"2","74","1.5","19"
"2","74","1.5","27"
"2","76","0.7","8"
"2","78","1","8"
"2","79","1","27"
"2","83","1","8"
"2","84","1","27"
"3","43","1","8"
"3","44","0.8","21"
"3","44","0.8","20"
"3","46","1","8"
"3","47","1.1","23"
"3","47","1.1","21"
"3","47","1.1","20"
"3","52","0.8","23"
"3","52","0.8","21"
"3","52","0.8","20"
"3","55","0.4","8"
"3","58","1.2","8"
"3","59","1.5","23"
"3","59","1.5","21"
"3","59","1.5","20"
"3","68","1.2","8"
"3","69","1.5","23"
"3","69","1.5","21"
"3","69","1.5","20"
"3","70","1","8"
"3","73","1.2","8"
"3","74","1.5","23"
"3","74","1.5","21"
"3","74","1.5","20"
"3","76","0.7","8"
"3","78","1","8"
"3","79","1","21"
"3","79","1","20"
"3","83","1","8"
"3","84","1","21"
"3","84","1","20"
"4","43","1","14"
"4","44","0.8","33"
"4","46","1","14"
"4","47","1.1","19"
"4","47","1.1","33"
"4","52","0.8","19"
"4","52","0.8","33"
"4","55","0.4","14"
"4","58","1.2","14"
"4","59","1.5","19"
"4","59","1.5","33"
"4","68","1.2","14"
"4","69","1.5","19"
"4","69","1.5","33"
"4","70","1","14"
"4","71","1","14"
"4","73","1.2","14"
"4","74","1.5","19"
"4","74","1.5","33"
"4","76","0.7","14"
"4","78","1","14"
"4","79","1","33"
"4","83","1","14"
"4","84","1","33"
"5","43","1","10"
"5","44","0.8","2"
"5","44","0.8","2"
"5","46","1","10"
"5","47","1.1","16"
"5","47","1.1","2"
"5","47","1.1","2"
"5","52","0.8","16"
"5","52","0.8","2"
"5","52","0.8","2"
"5","55","0.4","10"
"5","58","1.2","10"
"5","59","1.5","16"
"5","59","1.5","2"
"5","59","1.5","2"
"5","68","1.2","10"
"5","69","1.5","16"
"5","69","1.5","2"
"5","69","1.5","2"
"5","70","1","10"
"5","73","1.2","10"
"5","74","1.5","16"
"5","74","1.5","2"
"5","74","1.5","2"
"5","76","0.7","10"
"5","78","1","10"
"5","79","1","2"
"5","79","1","2"
"5","83","1","10"
"5","84","1","2"
"5","84","1","2"
"6","43","1","16"
"6","44","0.8","31"
"6","46","1","16"
"6","47","1.1","4"
"6","47","1.1","4"
"6","47","1.1","31"
"6","48","1.5","4"
"6","52","0.8","4"
"6","52","0.8","4"
"6","52","0.8","31"
"6","55","0.4","16"
"6","58","1.2","16"
"6","59","1.5","4"
"6","59","1.5","4"
"6","59","1.5","31"
"6","68","1.2","16"
"6","69","1.5","4"
"6","69","1.5","4"
"6","69","1.5","31"
"6","70","1","16"
"6","71","1","16"
"6","73","1.2","16"
"6","74","1.5","4"
"6","74","1.5","4"
"6","74","1.5","31"
"6","76","0.7","16"
"6","78","1","16"
"6","79","1","31"
"6","83","1","16"
"6","84","1","31"
"7","43","1","13"
"7","44","0.8","7"
"7","44","0.8","1"
"7","44","0.8","1"
"7","46","1","13"
"7","47","1.1","7"
"7","47","1.1","9"
"7","47","1.1","9"
"7","47","1.1","9"
"7","47","1.1","1"
"7","47","1.1","1"
"7","47","1.1","7"
"7","47","1.1","1"
"7","47","1.1","1"
"7","49","1.5","7"
"7","49","1.5","9"
"7","51","0.5","7"
"7","52","0.8","7"
"7","52","0.8","9"
"7","52","0.8","9"
"7","55","0.4","13"
"7","56","0.6","9"
"7","56","0.6","1"
"7","56","0.6","1"
