"TIRE_SQ_TIPO_RECURSO","FORN_SQ_FORNECEDOR","RECU_VL_CUSTO"
"1","1","0"
"1","2","0"
"1","3","0"
"2","1","0"
"2","2","0"
"2","3","0"
"3","1","0"
"3","2","0"
"3","3","0"
"4","1","0"
"4","2","0"
"4","3","0"
"5","1","0"
"5","2","0"
"5","3","0"
"6","1","0"
"6","2","0"
"6","3","0"
"7","1","0"
"7","2","0"
"7","3","0"
"8","1","0"
"8","2","0"
"8","3","0"
"9","1","0"
"9","2","0"
"9","3","0"
"10","1","0"
"10","2","0"
"10","3","0"
"11","1","0"
"11","2","0"
"11","3","0"
"12","1","0"
"12","2","0"
"12","3","0"
"13","1","0"
"13","2","0"
"13","3","0"
"14","1","0"
"14","2","0"
"14","3","0"
"15","1","0"
"15","2","0"
"15","3","0"
"16","1","0"
"16","2","0"
"16","3","0"
"17","1","0"
"17","2","0"
"17","3","0"
"18","1","0"
"18","2","0"
"18","3","0"
"19","1","0"
"19","2","0"
"19","3","0"
"20","1","0"
"20","2","0"
"20","3","0"
"21","1","0"
"21","2","0"
"21","3","0"
"22","1","0"
"22","2","0"
"22","3","0"
"23","1","0"
"23","2","0"
"23","3","0"
"24","1","0"
"24","2","0"
"24","3","0"
"25","1","0"
"25","2","0"
"25","3","0"
"26","1","0"
"26","2","0"
"26","3","0"
"27","1","0"
"27","2","0"
"27","3","0"
"28","1","0"
"28","2","0"
"28","3","0"
"29","1","0"
"29","2","0"
"29","3","0"
"30","1","0"
"30","2","0"
"30","3","0"
"31","1","0"
"31","2","0"
"31","3","0"
"32","1","0"
"32","2","0"
"32","3","0"
"33","1","0"
"33","2","0"
"33","3","0"
"34","1","0"
"34","2","0"
"34","3","0"
"35","1","0"
"35","2","0"
"35","3","0"
"36","1","0"
"36","2","0"
"36","3","0"
"37","1","0"
"37","2","0"
"37","3","0"
"38","1","0"
"38","2","0"
"38","3","0"
"39","1","0"
"39","2","0"
"39","3","0"
"40","1","0"
"40","2","0"
"40","3","0"
"41","1","0"
"41","2","0"
"41","3","0"
"42","1","4533.91"
"42","2","2496.12"
"42","3","15517.18"
"43","1","4533.91"
"43","2","2496.12"
"43","3","15517.18"
"44","1","4533.91"
"44","2","2496.12"
"44","3","15517.18"
"45","1","4851.45"
"45","2","1290.1057805784"
"45","3","6141.5557805784"
"46","1","1879.87"
"46","2","499.89820646114"
"46","3","1879.87"
"47","1","4073.59"
"47","2","1083.2559351753"
"47","3","4073.59"
"48","1","12114.35"
"48","2","3221.4684193282"
"48","3","12114.35"
"49","1","10951.52"
"49","2","2912.2467011141"
"49","3","10951.52"
"50","1","1873.96"
"50","2","498.32660927613"
"50","3","1873.96"
"51","1","4503.85"
"51","2","1197.6714013043"
"51","3","4503.85"
"52","1","4039.77"
"52","2","2529.02"
"52","3","6651.87"
"53","1","4039.77"
"53","2","2529.02"
"53","3","6651.87"
"54","1","4039.77"
"54","2","2529.02"
"54","3","6651.87"
"55","1","4039.77"
"55","2","2529.02"
"55","3","6651.87"
"56","1","4039.77"
"56","2","2529.02"
"56","3","6651.87"
"57","1","10674.54"
"57","2","4311.48"
"57","3","5242.14"
"58","1","10674.54"
"58","2","4311.48"
"58","3","5242.14"
"59","1","10674.54"
"59","2","4311.48"
"59","3","5242.14"
"60","1","0"
"60","2","0"
"60","3","0"
"61","1","0"
"61","2","0"
"61","3","0"
"62","1","0"
"62","2","0"
"62","3","0"
"63","1","0"
"63","2","0"
"63","3","0"
"64","1","0"
"64","2","0"
"64","3","0"
"65","1","0"
"65","2","0"
"65","3","0"
"66","1","0"
"66","2","0"
"66","3","0"
"67","1","2795.99"
"67","2","487.88"
"67","3","1345.42"
"68","1","2795.99"
"68","2","487.88"
"68","3","1345.42"
"69","1","2795.99"
"69","2","487.88"
"69","3","1345.42"
"70","1","5208.22"
"70","2","2723.04"
"70","3","16124.61"
"71","1","6178.44"
"71","2","90000"
"71","3","200000"
"72","1","5646.88"
"72","2","1486.33"
"72","3","6816.79"
"73","1","5646.88"
"73","2","1486.33"
"73","3","6816.79"
"74","1","5646.88"
"74","2","1486.33"
"74","3","6816.79"
"75","1","0"
"75","2","0"
"75","3","0"
"76","1","12867.54"
"76","2","14976.72"
"76","3","17471.66"
"77","1","12867.54"
"77","2","14976.72"
"77","3","17471.66"
"78","1","13553.7"
"78","2","7034.52"
"78","3","21621.18"
"79","1","13553.7"
"79","2","7034.52"
"79","3","21621.18"
"80","1","5915.8"
"80","2","6807.6"
"80","3","6551.87"
"81","1","5915.8"
"81","2","6807.6"
"81","3","6551.87"
"82","1","5915.8"
"82","2","6807.6"
"82","3","6551.87"
"83","1","140503.96"
"83","2","29953.44"
"83","3","110201.04"
"84","1","140503.96"
"84","2","29953.44"
"84","3","110201.04"
"85","1","0"
"85","2","0"
"85","3","0"
"86","1","0"
"86","2","0"
"86","3","0"
"87","1","0"
"87","2","0"
"87","3","0"
