"","o_0","o_1","o_2","o_3","o_4","o_5","o_6","o_7","o_8","o_9","o_10","o_11","o_12","o_13","o_14","o_15","o_16","o_17","o_18","o_19","o_20","o_21","o_22","o_23","o_24","o_25","o_26","o_27","o_28","o_29","o_30","o_31","o_32","o_33","o_34","o_35","o_36","o_37","o_38","o_39","o_40","o_41","o_42","o_43","o_44","o_45","o_46","o_47","o_48","o_49","o_50","o_51","o_52","o_53","o_54","o_55","o_56","o_57","o_58","o_59","o_60","o_61","o_62","o_63","o_64","o_65","o_66","o_67","o_68","o_69","o_70","o_71","o_72","o_73","o_74","o_75","o_76","o_77","o_78","o_79","o_80","o_81","o_82","o_83","o_84","o_85","o_86","o_87","o_88","o_89","o_90","o_91","o_92","o_93","o_94","o_95","o_96","o_97","o_98","o_99","o_100","o_101","o_102","o_103","o_104","o_105","o_106","o_107","o_108","o_109","o_110","o_111","o_112","o_113","o_114","o_115","o_116","o_117","o_118","o_119","o_120","o_121","o_122","o_123","o_124","o_125","o_126","o_127","o_128","o_129","o_130","o_131","o_132","o_133","o_134","o_135","o_136","o_137","o_138","o_139","o_140","o_141","o_142","o_143","o_144","o_145","o_146","o_147","o_148","o_149","o_150","o_151","o_152","o_153","o_154","o_155","o_156","o_157","o_158","o_159","o_160","o_161","o_162","o_163","o_164","o_165","o_166","o_167","o_168","o_169","o_170","o_171","o_172","o_173","o_174","o_175","o_176","o_177","o_178","o_179","o_180","o_181","o_182","o_183","o_184","o_185","o_186","o_187","o_188","o_189","o_190","o_191","o_192","o_193","o_194","o_195","o_196","o_197","o_198","o_199","o_200","o_201","o_202","o_203","o_204","o_205","o_206","o_207","o_208","o_209","o_210","o_211","o_212","o_213","o_214","o_215","o_216","o_217","o_218","o_219","o_220","o_221","o_222","o_223","o_224","o_225","o_226","o_227","o_228","o_229","o_230","o_231","o_232","o_233","o_234","o_235","o_236","o_237","o_238","o_239","o_240","o_241","o_242","o_243","o_244","o_245","o_246","o_247","o_248","o_249","o_250","o_251"
"r_0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","2","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1","1","0","0","1","0","1","1","1","0","1","0","1","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","1","0","0","1","1","1","3","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","1","1","0","1","1","1","1","0","1","0","0","0","0","1","1","1","0","1","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","3","1","1","1","1","1","3","0","1","3","0","0","0","1","1","1","1","1","1","0","1","0","1","1","1","1","2","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","1","0","1","0"
"r_2","1.6","0.8","1.6","0.8","1.6","0.8","2.4","0.8","1.6","0.8","2.4","0.8","0.8","0.8","0.8","0","0.8","0.8","0.8","0.8","1.6","1.6","0","0","0","0","0","1.6","0.8","0.8","0","0.8","0","0","0.8","0","0","0","0","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0","0","1.6","1.6","0.8","0","0","0","0.8","0","0","0","2.4","0.8","3.2","0.8","0.8","0.8","1.6","0.8","0","0.8","2.4","1.6","1.6","1.6","0.8","0.8","0","0.8","1.6","1.6","0.8","0.8","0","0","0.8","0","0.8","0","0","1.6","0","0","0","0.8","0","0.8","0.8","0","2.4","0","0","0","0","0.8","0.8","0.8","0","1.6","0.8","0.8","1.6","0.8","0.8","0.8","0.8","1.6","0","1.6","0.8","0","0","0","0","0.8","1.6","0.8","0.8","0.8","1.6","1.6","0.8","0.8","0.8","0","0.8","0.8","0","1.6","0.8","0.8","0","0","0.8","0.8","1.6","0.8","0","1.6","0.8","0.8","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0.8","0.8","0","1.6","1.6","0","0","0","0.8","0.8","0.8","0.8","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0.8","0.8","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.8","1.6","0.8","0.8","1.6","0","0.8","0.8","0.8","0","0.8","0.8","0","0","0","1.6","0","0.8","0.8","0","0.8","0.8","1.6","1.6","0","0.8","1.6","1.6","0.8","0.8","1.6","1.6","0.8","0.8","0.8","1.6","1.6","0","0","1.6","0","1.6","0.8","1.6","0","0","0.8","0.8","1.6","2.4","2.4","1.6","1.6","0.8","0.8","0.8","0","1.6","0.8"
"r_3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"r_4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","2","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1","1","0","0","1","0","1","1","1","0","1","0","1","0","0","1","1","1","0","1","0","1","0","0","1","1","1","1","1","0","0","1","1","1","3","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","3","1","3","1","1","1","1","1","3","0","1","3","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","2","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0"
"r_5","3.3","2.2","3.3","2.2","3.3","3.3","9.9","3.3","4.4","3.3","8.8","4.4","4.4","5.5","4.4","4.4","4.4","4.4","4.4","4.4","5.5","5.5","4.4","4.4","4.4","4.4","3.3","5.5","4.4","5.5","0","4.4","3.3","3.3","1.1","3.3","3.3","3.3","3.3","5.5","5.5","5.5","2.2","4.4","4.4","2.2","3.3","4.4","4.4","5.5","6.6","4.4","4.4","3.3","3.3","4.4","4.4","4.4","4.4","9.9","7.7","9.9","3.3","2.2","4.4","5.5","5.5","4.4","4.4","8.8","5.5","2.2","5.5","4.4","4.4","0","2.2","6.6","5.5","3.3","4.4","4.4","3.3","4.4","3.3","5.5","3.3","4.4","6.6","4.4","3.3","4.4","3.3","3.3","4.4","3.3","3.3","6.6","3.3","3.3","3.3","3.3","3.3","5.5","5.5","4.4","8.8","4.4","4.4","3.3","4.4","4.4","3.3","2.2","6.6","4.4","5.5","4.4","4.4","1.1","3.3","3.3","2.2","3.3","5.5","5.5","4.4","5.5","5.5","3.3","3.3","4.4","6.6","4.4","4.4","1.1","6.6","5.5","5.5","3.3","5.5","4.4","3.3","5.5","4.4","4.4","5.5","3.3","3.3","3.3","3.3","1.1","6.6","6.6","2.2","6.6","6.6","6.6","6.6","4.4","5.5","3.3","4.4","4.4","4.4","4.4","6.6","6.6","5.5","6.6","4.4","4.4","4.4","4.4","3.3","4.4","4.4","4.4","4.4","4.4","5.5","5.5","5.5","1.1","5.5","0","5.5","5.5","5.5","5.5","5.5","5.5","3.3","4.4","4.4","4.4","3.3","6.6","3.3","3.3","3.3","4.4","1.1","4.4","4.4","5.5","5.5","5.5","5.5","3.3","4.4","4.4","3.3","3.3","3.3","5.5","6.6","5.5","2.2","3.3","4.4","2.2","4.4","4.4","4.4","3.3","4.4","1.1","4.4","4.4","6.6","3.3","4.4","3.3","6.6","5.5","4.4","3.3","4.4","4.4","4.4","5.5","6.6","6.6","3.3","3.3","6.6","6.6","1.1","1.1","5.5","5.5"
"r_6","0","0","0","0","0","1.5","0","1.5","1.5","1.5","0","3","3","0","1.5","1.5","1.5","1.5","1.5","1.5","3","3","1.5","3","3","3","0","3","1.5","0","0","3","1.5","1.5","0","1.5","1.5","1.5","1.5","0","0","0","0","1.5","1.5","1.5","1.5","1.5","1.5","3","1.5","3","1.5","1.5","1.5","1.5","3","3","1.5","0","0","0","0","0","3","3","0","1.5","1.5","0","3","0","1.5","1.5","1.5","0","0","0","3","0","1.5","1.5","1.5","1.5","1.5","0","1.5","1.5","0","1.5","1.5","1.5","0","1.5","3","1.5","1.5","1.5","1.5","1.5","1.5","1.5","0","0","0","1.5","0","1.5","1.5","0","1.5","3","0","0","0","1.5","1.5","3","1.5","1.5","1.5","1.5","0","0","0","0","1.5","3","3","1.5","1.5","3","0","3","1.5","0","0","1.5","0","1.5","0","3","0","3","1.5","0","1.5","0","1.5","1.5","1.5","0","0","0","0","0","0","0","0","0","3","0","0","1.5","3","3","0","0","0","0","3","0","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","1.5","1.5","0","1.5","1.5","0","0","1.5","1.5","1.5","0","1.5","1.5","0","0","0","3","1.5","1.5","1.5","1.5","1.5","0","3","0","0","0","0","0","0","3","0","0","0","1.5","0","0","0","0","1.5","0","1.5","0","0","0","3","1.5","3","3","3","1.5","1.5","0","0","0","0","0","0","3","0"
"r_7","0","0","0","0","0","0","3","0","0","0","3","0","0","3","1.5","1.5","1.5","1.5","1.5","1.5","0","0","0","0","0","0","0","0","1.5","1.5","0","0","0","0","0","0","0","0","0","1.5","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","3","0","0","1.5","0","0","0","0","0","0","0","1.5","0","0","0","0","0","1.5","0","1.5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","1.5","0","3","0","0","0","0","0","0","0","1.5","0","0","0","1.5","0","0","0","0","0","1.5","1.5","0","0","0","0","0","0","1.5","0","0","0","3","0","1.5","1.5","3","0","0","0","0","3","1.5","0","0","0","0","0","1.5","1.5","1.5","1.5","1.5","1.5","1.5","0","0","0","0","0","0","0","1.5","1.5","3","1.5","0","0","0","0","0","0","0","0","0","0","1.5","3","1.5","0","1.5","0","3","3","3","3","3","3","0","0","0","0","0","3","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0","1.5","1.5","0","0","1.5","0","0","0","0","0","0","0","1.5","1.5","0","0","0","1.5"
"r_8","0","0","0","0","0","0","0","0.5","0","0.5","0","0.5","0.5","0","0","0","0","0","0","0","0.5","0.5","0","0.5","0.5","0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0.5","0.5","0.5","0.5","0.5","0","0.5","0","0","0","0","0","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0.5","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0.5","0"
"r_9","0","0","0","0","0","0","0.5","0","0","0","0.5","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0.5","0","0","0","0","0","0.5","0.5","0","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0","0.5","0","0.5","0.5","0.5","0.5","0","0","0.5","0.5","0.5","0.5","0","0","0.5","0","0.5","0.5","0.5","0.5","0","0","0.5","0.5","0.5","0","0","0.5","0","0","0.5","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0.5","0","0","0.5","0","0.5","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5","0","0","0","0.5","0","0","0","0.5","0.5","0.5","0","0.5","0","0.5","0.5","0","0","0.5","0.5","0","0","0","0","0","0","0.5","0","0","0","0.5","0.5","0.5","0.5","0.5","0","0","0","0.5","0.5","0.5","0","0","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0.5","0.5","0.5","0.5","0.5","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0","0.5","0.5","0.5","0","0.5","0","0.5","0.5","0","0","0","0.5","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0.5","0.5","0","0.5","0.5","0.5","0","0","0.5","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0.5"
