"CODIGO_POCO","NOME_POCO"
"P00002696","BUZ-4.P6."
"P00001470","IGUANA RF MLS"
"P00003633","S-TUP.P-LES-3."
"P00005031","LL-S.I-LS-9."
"P00005629","BUZ-2.P2."
"P00005407","BUZ-2.P7."
"P00005899","BUZ-5.P4."
"P00006351","MLL.TRACA3."
"P00001692","SBBG.P4."
"P00006842","ITP-ADR2."
"P00005624","BUZ-3.P15."
"P00007753","7-BUZ-24D-RJS"
"P00007565","AB-ADR-A-FORNO"
"P00003011","LL-N.LN-I2."
"P00003009","LL-N.LN-P4."
"P00003809","S-TUP.P-LES-8."
"P00007037","CACHORRO-QUENTE"
"P00006343","BAZ.APBAZ-P1."
"P00005329","ABL.2I11."
"P00005330","ABL.2P11."
"P00005569","MONAI"
"P00003742","8-MLS-229D-RJS"
"P00003691","MLS INJR3."
"P00001479","1-MAS-37 - GUAJURU"
"P00006556","RO.I1-12."
"P00006709","8-RO-165 - RO.I1-13."
"P00006349","MLL.SP-1."
"P00006340","MLL.P21."
"P00007546","2P8 - ABL-ADR-AREAABL210 - (ADR_ABL-69) - DP"
"P00001699","BBG.I2."
"P00007793","7-SRR-2-RJS"
"P00007269","PM.PM-L4A"
"P00004762","SUBST-AB60."
"P00004994","MXL-19 (MXL-DC) - SEM ESCOPO - DP"
"P00007774","SUBSTMLL56 (MLL-DC-SUBST-MLL56)"
"P00003736","TVD-TMT.TVD-P5."
"P00006829","SRR.I7."
"P00003898","S-TUP.P-LES-6."
"P00004978","MA-1D SUBSTITUTO"
"P00005918","AB.MRL-30-SW"
"P00003735","TVD-TMT.TVD-P3."
"P00007769","7-TVD-16DP-RJS"
"P00004635","BUZ-1.P11"
"P00005024","BUZ-3.I9."
"P00005374","BUZ-2.I6."
"P00007790","9-BR-82D-RJS"
"P00003394","RONDINGO"
"P00004927","RO-ADR1."
"P00001471","MA.AREAMA-17."
"P00004232","BUZ-2.I3."
"P00005025","BUZ-3.I10."
"P00005929","MRL-230."
"P00005926","S-MRL-2"
"P00005930","S-MRL-6."
"P00007608","9-PPT-42DP-RJS / 7-PPT-50HP-RJS"
"P00007336","PPT.PPT.LPH2 - SEM ESCOPO - DP"
"P00000240","9-PPT-26D-RJS"
